event_id,area,venue,address,venue_url,event_name,event_date,start_time,end_time,event_url,promoters,promoter_url,interested,ticket_category,ticket_price,lineup,minimum_age,genre,information,event_admin,website_url
2006697,Brandenburg,E-WERK Luckenwalde,Rudolf-Breitscheid-Str 73 14943 Luckenwalde Germany,https://de.ra.co/clubs/199829,Mieke Miami album launch & concert,2024-10-11,Fri 19:30,Fri 23:00,https://de.ra.co/events/2006697,E-WERK Luckenwalde,https://de.ra.co/promoters/111124,1,N/A,N/A,"Mieke Miami, Adi Gelbart , Dj Cutrock",18,"Experimental, Funk / Soul","Mieke Miami is a multi-instrumentalist, singer, composer, and producer from Luckenwalde, Brandenburg. This September, she releases her third album, “Birdland,” composed in her studio at E-WERK Luckenwalde. Join to see her play in Luckenwalde this Autumn!

Everything on ""Birdland"" feels magical: twelve tracks shine like an endless summer. Flute tones shimmer over smooth keys, funky basslines, and bouncing percussion underpin luxurious horns, with Miami's clear vocals dancing elegantly.

The show takes place next to EW at the Stadtbad Luckenwalde. The Stadtbad live project, pioneered by EW and the City of Luckenwalde, and Luba GmbH are transforming the former municipal swimming pool into an internationally and regionally relevant venue for music and culture. Stadtbad live will turn the Stadtbad back into a public space that is open to local, national and international visitors and presents high-caliber concerts, live performances and contemporary art events, for everyone in the city and beyond.",ewerkluckenwalde,https://www.eventbrite.de/e/birdland-mieke-miami-album-launch-konzert-tickets-966292315327
1995890,Brandenburg,Archiv,"Leipziger Straße 60, 14473 Potsdam",https://de.ra.co/clubs/98824,Archiv Potsdam lädt zur Core Attack,2024-10-12,Sat 19:00,Sun 01:00,https://de.ra.co/events/1995890,N/A,N/A,1,N/A,N/A,"Fight Against Monuments, Unbeaten, Hollow Grin, Contact Zone",18,Hardcore,"Das Archiv lädt ein zur Core Attack am 12.10.2024, doors 19:00, Start 20:00

Fight Against Monuments
Instagram:

Spotify:


Seit 2016 liefert die Chemnitzer Hardcore-Combo eine feindosierte Mischung aus New- und Oldschool. Neben HCWW-Classics wie Nazi Scum sind auch einige neue Songs aus der aktuellen Albumproduktion zu erwarten. Im Gepäck haben sie außerdem ihre Freunde von…

…Unbeaten
Instagram:
Spotify:

Die ebenfalls 2016 gegründete Band aus Bydgoszcz (PL) zählt zu den stärksten Livekräften, die unsere Nachbarn im Hardcore zu bieten haben. Female fronted, ohne Kompromisse und voller Energie!

… Hollow Grin
Instagram:

Spotify

Die 2021 in Dresden gegründete Band verbindet moderne mit klassischen Elementen des Metal und Hardcore. Grenzen setzen sich die 5 Bandmitglieder dabei nicht, um abwechslungsreiche und interessante Songs zu schreiben. Die Zuhörer erwartet ein Mix verschiedener Metalgenres.

… Contact Zone
Die Jungs aus Fürstenwalde und Umgebung spielen klassischen Old School Hardcore mit klaren politischen Inhalten. Freut euch auf kurzweilige Songs, gemischt aus Punk, Hardcore und Metal.
Instagram: 
Spotify:


Spendenempfehlung 20 € ",hardcorepotsdam,https://archiv-potsdam.de/
2007395,Brandenburg,"TBA - FestSAAL LAASlich - Kirschblütenstr. 42, 19357 Karstädt",N/A,https://de.ra.coNone,HALLOWEEN PARTY 2024,2024-10-30,Wed 22:00,Thu 05:00,https://de.ra.co/events/2007395,Daniel Simons,https://de.ra.co/promoters/118784,3,General admission,8,"DJ Mayze (Berlin), Mayze ist ein fester Bestandteil der Berliner Techno-Szene und hat bereits mit Größen wie Westbam, Lexy & K-Paul und vielen weiteren auf der Bühne gestanden. Sein energiegeladener Mix aus Techno und House zieht das Publikum magisch an und sorgt für unvergessliche Nächte., , DJ MOK(Prignitz), Für echte Party-Fans der Prignitz ist Mok längst ein Begriff. Bekannt durch seine legendären Auftritte bei den Winko-Partys, bringt Mok die Dancefloors mit seinen groovigen House-Beats regelmäßig zum Kochen., , DJ Nik Night (Prignitz), Nik Night ist ein aufstrebender DJ aus der Prignitz, der mit seiner Präsenz auf fast jedem Event der Region überzeugt. Mit seinen dynamischen Sets zwischen House und Techno begeistert er das Publikum und gehört zu den vielversprechendsten Talenten der Szene.",18,"Techno, Pop","Halloween Party 2024 - FestSAAL∞LAASlich 

Am 30. Oktober 2024 ab 22:00 Uhr öffnen sich die Tore zur düstersten Nacht des Jahres im FestSAAL∞LAASlich.

Halloween-Deko Deluxe – Der Saal wird zur Geisterwelt!

Follower Shot – Jeder Social-Media-Follower erhält einen Gratis-Shot!

Kostüme erwünscht – Lasst eurer Kreativität freien Lauf!",Atbberlin,"https://www.instagram.com/festsaal_laaslich/, https://www.facebook.com/festsaallaaslich"
2003247,Brandenburg,La Leander,"Benkertstraße 1, 14467 Potsdam",https://de.ra.co/clubs/145307,Beatenterprises,2024-11-01,Fri 21:00,Sat 03:30,https://de.ra.co/events/2003247,N/A,N/A,2,N/A,N/A,Rudi Stöher aka Lester; Gaya Kloud,18,"Deep House, Dub Techno",expect the unexpected,gayakloud,N/A
2012403,Brandenburg,Waschhaus,"Schiffbauergasse 6, 14467 Potsdam",https://de.ra.co/clubs/19724,90 Grad Feinwäsche,2024-11-15,Fri 20:00,Sat 06:00,https://de.ra.co/events/2012403,N/A,N/A,2,N/A,N/A,Florian Rietze Gregor SultanowRudi Stöher aka Lesterr Gaya Kloud,18,Deep House,,gayakloud,N/A
1639634,Brandenburg,TBA - 467,N/A,https://de.ra.coNone,Open Air,2025-03-14,Fri 23:00,Sat 06:00,https://de.ra.co/events/1639634,Jason Bürger,https://de.ra.co/promoters/116993,2,1st release,22.6,Open Air 2025 von @JJMUSIC ist auf dem Weg zu euch,18,"Bass, Electro",,jjmusic23,N/A
2006697,Brandenburg,E-WERK Luckenwalde,Rudolf-Breitscheid-Str 73 14943 Luckenwalde Germany,https://de.ra.co/clubs/199829,Mieke Miami album launch & concert,2024-10-11,Fri 19:30,Fri 23:00,https://de.ra.co/events/2006697,E-WERK Luckenwalde,https://de.ra.co/promoters/111124,1,N/A,N/A,"Mieke Miami, Adi Gelbart , Dj Cutrock",18,"Experimental, Funk / Soul","Mieke Miami is a multi-instrumentalist, singer, composer, and producer from Luckenwalde, Brandenburg. This September, she releases her third album, “Birdland,” composed in her studio at E-WERK Luckenwalde. Join to see her play in Luckenwalde this Autumn!

Everything on ""Birdland"" feels magical: twelve tracks shine like an endless summer. Flute tones shimmer over smooth keys, funky basslines, and bouncing percussion underpin luxurious horns, with Miami's clear vocals dancing elegantly.

The show takes place next to EW at the Stadtbad Luckenwalde. The Stadtbad live project, pioneered by EW and the City of Luckenwalde, and Luba GmbH are transforming the former municipal swimming pool into an internationally and regionally relevant venue for music and culture. Stadtbad live will turn the Stadtbad back into a public space that is open to local, national and international visitors and presents high-caliber concerts, live performances and contemporary art events, for everyone in the city and beyond.",ewerkluckenwalde,https://www.eventbrite.de/e/birdland-mieke-miami-album-launch-konzert-tickets-966292315327
1995890,Brandenburg,Archiv,"Leipziger Straße 60, 14473 Potsdam",https://de.ra.co/clubs/98824,Archiv Potsdam lädt zur Core Attack,2024-10-12,Sat 19:00,Sun 01:00,https://de.ra.co/events/1995890,N/A,N/A,1,N/A,N/A,"Fight Against Monuments, Unbeaten, Hollow Grin, Contact Zone",18,Hardcore,"Das Archiv lädt ein zur Core Attack am 12.10.2024, doors 19:00, Start 20:00

Fight Against Monuments
Instagram:

Spotify:


Seit 2016 liefert die Chemnitzer Hardcore-Combo eine feindosierte Mischung aus New- und Oldschool. Neben HCWW-Classics wie Nazi Scum sind auch einige neue Songs aus der aktuellen Albumproduktion zu erwarten. Im Gepäck haben sie außerdem ihre Freunde von…

…Unbeaten
Instagram:
Spotify:

Die ebenfalls 2016 gegründete Band aus Bydgoszcz (PL) zählt zu den stärksten Livekräften, die unsere Nachbarn im Hardcore zu bieten haben. Female fronted, ohne Kompromisse und voller Energie!

… Hollow Grin
Instagram:

Spotify

Die 2021 in Dresden gegründete Band verbindet moderne mit klassischen Elementen des Metal und Hardcore. Grenzen setzen sich die 5 Bandmitglieder dabei nicht, um abwechslungsreiche und interessante Songs zu schreiben. Die Zuhörer erwartet ein Mix verschiedener Metalgenres.

… Contact Zone
Die Jungs aus Fürstenwalde und Umgebung spielen klassischen Old School Hardcore mit klaren politischen Inhalten. Freut euch auf kurzweilige Songs, gemischt aus Punk, Hardcore und Metal.
Instagram: 
Spotify:


Spendenempfehlung 20 € ",hardcorepotsdam,https://archiv-potsdam.de/
2007395,Brandenburg,"TBA - FestSAAL LAASlich - Kirschblütenstr. 42, 19357 Karstädt",N/A,https://de.ra.coNone,HALLOWEEN PARTY 2024,2024-10-30,Wed 22:00,Thu 05:00,https://de.ra.co/events/2007395,Daniel Simons,https://de.ra.co/promoters/118784,3,General admission,8,"DJ Mayze (Berlin), Mayze ist ein fester Bestandteil der Berliner Techno-Szene und hat bereits mit Größen wie Westbam, Lexy & K-Paul und vielen weiteren auf der Bühne gestanden. Sein energiegeladener Mix aus Techno und House zieht das Publikum magisch an und sorgt für unvergessliche Nächte., , DJ MOK(Prignitz), Für echte Party-Fans der Prignitz ist Mok längst ein Begriff. Bekannt durch seine legendären Auftritte bei den Winko-Partys, bringt Mok die Dancefloors mit seinen groovigen House-Beats regelmäßig zum Kochen., , DJ Nik Night (Prignitz), Nik Night ist ein aufstrebender DJ aus der Prignitz, der mit seiner Präsenz auf fast jedem Event der Region überzeugt. Mit seinen dynamischen Sets zwischen House und Techno begeistert er das Publikum und gehört zu den vielversprechendsten Talenten der Szene.",18,"Techno, Pop","Halloween Party 2024 - FestSAAL∞LAASlich 

Am 30. Oktober 2024 ab 22:00 Uhr öffnen sich die Tore zur düstersten Nacht des Jahres im FestSAAL∞LAASlich.

Halloween-Deko Deluxe – Der Saal wird zur Geisterwelt!

Follower Shot – Jeder Social-Media-Follower erhält einen Gratis-Shot!

Kostüme erwünscht – Lasst eurer Kreativität freien Lauf!",Atbberlin,"https://www.instagram.com/festsaal_laaslich/, https://www.facebook.com/festsaallaaslich"
2003247,Brandenburg,La Leander,"Benkertstraße 1, 14467 Potsdam",https://de.ra.co/clubs/145307,Beatenterprises,2024-11-01,Fri 21:00,Sat 03:30,https://de.ra.co/events/2003247,N/A,N/A,2,N/A,N/A,Rudi Stöher aka Lester; Gaya Kloud,18,"Deep House, Dub Techno",expect the unexpected,gayakloud,N/A
2012403,Brandenburg,Waschhaus,"Schiffbauergasse 6, 14467 Potsdam",https://de.ra.co/clubs/19724,90 Grad Feinwäsche,2024-11-15,Fri 20:00,Sat 06:00,https://de.ra.co/events/2012403,N/A,N/A,2,N/A,N/A,Florian Rietze Gregor SultanowRudi Stöher aka Lesterr Gaya Kloud,18,Deep House,,gayakloud,N/A
1639634,Brandenburg,TBA - 467,N/A,https://de.ra.coNone,Open Air,2025-03-14,Fri 23:00,Sat 06:00,https://de.ra.co/events/1639634,Jason Bürger,https://de.ra.co/promoters/116993,2,1st release,22.6,Open Air 2025 von @JJMUSIC ist auf dem Weg zu euch,18,"Bass, Electro",,jjmusic23,N/A
